County,State,Estimate_Households_Median_income
Montgomery County, Ohio,53064
Morgan County, Ohio,43791
Morrow County, Ohio,61769
Muskingum County, Ohio,48350
Noble County, Ohio,50070
Ottawa County, Ohio,59306
Paulding County, Ohio,56531
Perry County, Ohio,52978
Pickaway County, Ohio,61629
Pike County, Ohio,44115
Portage County, Ohio,59485
Preble County, Ohio,61339
Putnam County, Ohio,67790
Richland County, Ohio,49186
Ross County, Ohio,51508
Sandusky County, Ohio,55245
Scioto County, Ohio,41866
Seneca County, Ohio,52897
Shelby County, Ohio,64522
Stark County, Ohio,55045
Summit County, Ohio,59253
Trumbull County, Ohio,47799
Tuscarawas County, Ohio,54451
Union County, Ohio,88565
Van Wert County, Ohio,55991
Vinton County, Ohio,45034
Warren County, Ohio,89410
Washington County, Ohio,51808
Wayne County, Ohio,61424
Williams County, Ohio,52855
Wood County, Ohio,63189
Wyandot County, Ohio,57925
Adair County, Oklahoma,34375
Alfalfa County, Oklahoma,64122
Atoka County, Oklahoma,42392
Beaver County, Oklahoma,55083
Beckham County, Oklahoma,47095
Blaine County, Oklahoma,49638
Bryan County, Oklahoma,47175
Caddo County, Oklahoma,46499
Canadian County, Oklahoma,73591
Carter County, Oklahoma,51148
Cherokee County, Oklahoma,43378
Choctaw County, Oklahoma,37121
Cimarron County, Oklahoma,47095
Cleveland County, Oklahoma,65412
Coal County, Oklahoma,42277
Comanche County, Oklahoma,52377
Cotton County, Oklahoma,49583
Craig County, Oklahoma,43003
Creek County, Oklahoma,52315
Custer County, Oklahoma,51351
Delaware County, Oklahoma,44268
Dewey County, Oklahoma,51169
Ellis County, Oklahoma,48264
Garfield County, Oklahoma,55435
Garvin County, Oklahoma,47321
Grady County, Oklahoma,64507
Grant County, Oklahoma,53147
Greer County, Oklahoma,46794
Harmon County, Oklahoma,53087
Harper County, Oklahoma,44318
Haskell County, Oklahoma,43950
Hughes County, Oklahoma,38020
Jackson County, Oklahoma,52535
Jefferson County, Oklahoma,43871
Johnston County, Oklahoma,44238
Kay County, Oklahoma,47456
Kingfisher County, Oklahoma,61738
Kiowa County, Oklahoma,34747
Latimer County, Oklahoma,40044
Le Flore County, Oklahoma,41900
Lincoln County, Oklahoma,51206
Logan County, Oklahoma,70456
Love County, Oklahoma,54423
McClain County, Oklahoma,70005
McCurtain County, Oklahoma,39091
McIntosh County, Oklahoma,39588
Major County, Oklahoma,56781
Marshall County, Oklahoma,48573
Mayes County, Oklahoma,50012
Murray County, Oklahoma,53696
Muskogee County, Oklahoma,41633
Noble County, Oklahoma,60019
Nowata County, Oklahoma,42051
Okfuskee County, Oklahoma,40913
Oklahoma County, Oklahoma,55519
Okmulgee County, Oklahoma,45319
Osage County, Oklahoma,50105
Ottawa County, Oklahoma,40662
Pawnee County, Oklahoma,50991
Payne County, Oklahoma,42103
Pittsburg County, Oklahoma,47511
Pontotoc County, Oklahoma,51682
Pottawatomie County, Oklahoma,51150
Pushmataha County, Oklahoma,38325
Roger Mills County, Oklahoma,54653
Rogers County, Oklahoma,66038
Seminole County, Oklahoma,38588
Sequoyah County, Oklahoma,41803
Stephens County, Oklahoma,51156
Texas County, Oklahoma,50702
Tillman County, Oklahoma,39975
Tulsa County, Oklahoma,57024
Wagoner County, Oklahoma,64958
Washington County, Oklahoma,53384
Washita County, Oklahoma,52591
Woods County, Oklahoma,51985
Woodward County, Oklahoma,56182
Baker County, Oregon,46250
Benton County, Oregon,65142
Clackamas County, Oregon,82911
Clatsop County, Oregon,57466
Columbia County, Oregon,68170
Coos County, Oregon,49445
Crook County, Oregon,59000
Curry County, Oregon,53174
Deschutes County, Oregon,68937
Douglas County, Oregon,50031
Gilliam County, Oregon,41838
Grant County, Oregon,48202
Harney County, Oregon,43387
Hood River County, Oregon,72418
Jackson County, Oregon,56327
Jefferson County, Oregon,55844
Josephine County, Oregon,47733
Klamath County, Oregon,48560
Lake County, Oregon,44237
Lane County, Oregon,54942
Lincoln County, Oregon,50775
Linn County, Oregon,59547
Malheur County, Oregon,44362
Marion County, Oregon,61817
Morrow County, Oregon,56572
Multnomah County, Oregon,71425
Polk County, Oregon,65665
Sherman County, Oregon,51472
Tillamook County, Oregon,54268
Umatilla County, Oregon,57973
Union County, Oregon,53940
Wallowa County, Oregon,53423
Wasco County, Oregon,54725
Washington County, Oregon,86626
Wheeler County, Oregon,45354
Yamhill County, Oregon,67296
Adams County, Pennsylvania,68411
Allegheny County, Pennsylvania,62320
Armstrong County, Pennsylvania,53545
Beaver County, Pennsylvania,59014
Bedford County, Pennsylvania,51531
Berks County, Pennsylvania,66154
Blair County, Pennsylvania,50856
Bradford County, Pennsylvania,52375
Bucks County, Pennsylvania,93181
Butler County, Pennsylvania,72642
Cambria County, Pennsylvania,47644
Cameron County, Pennsylvania,40342
Carbon County, Pennsylvania,57601
Centre County, Pennsylvania,61921
Chester County, Pennsylvania,104161
Clarion County, Pennsylvania,49695
Clearfield County, Pennsylvania,50150
Clinton County, Pennsylvania,51145
Columbia County, Pennsylvania,52219
Crawford County, Pennsylvania,51919
Cumberland County, Pennsylvania,71979
Dauphin County, Pennsylvania,63123
Delaware County, Pennsylvania,76238
Elk County, Pennsylvania,54961
Erie County, Pennsylvania,52863
Fayette County, Pennsylvania,49075
Forest County, Pennsylvania,41225
Franklin County, Pennsylvania,63420
Fulton County, Pennsylvania,55424
Greene County, Pennsylvania,55993
Huntingdon County, Pennsylvania,53597
Indiana County, Pennsylvania,49270
Jefferson County, Pennsylvania,49604
Juniata County, Pennsylvania,53502
Lackawanna County, Pennsylvania,54064
Lancaster County, Pennsylvania,69588
Lawrence County, Pennsylvania,50080
Lebanon County, Pennsylvania,61632
Lehigh County, Pennsylvania,66214
Luzerne County, Pennsylvania,53194
Lycoming County, Pennsylvania,54906
McKean County, Pennsylvania,49240
Mercer County, Pennsylvania,50529
Mifflin County, Pennsylvania,52641
Monroe County, Pennsylvania,68734
Montgomery County, Pennsylvania,93518
Montour County, Pennsylvania,59915
Northampton County, Pennsylvania,73088
Northumberland County, Pennsylvania,49273
Perry County, Pennsylvania,70660
Philadelphia County, Pennsylvania,49127
Pike County, Pennsylvania,67495
Potter County, Pennsylvania,47696
Schuylkill County, Pennsylvania,53703
Snyder County, Pennsylvania,60227
Somerset County, Pennsylvania,51255
Sullivan County, Pennsylvania,49830
Susquehanna County, Pennsylvania,55788
Tioga County, Pennsylvania,51838
Union County, Pennsylvania,56824
Venango County, Pennsylvania,51405
Warren County, Pennsylvania,52034
Washington County, Pennsylvania,65478
Wayne County, Pennsylvania,55572
Westmoreland County, Pennsylvania,61398
Wyoming County, Pennsylvania,60075
York County, Pennsylvania,68940
Bristol County, Rhode Island,85413
Kent County, Rhode Island,75857
Newport County, Rhode Island,84282
Providence County, Rhode Island,62323
Washington County, Rhode Island,86970
Abbeville County, South Carolina,43090
Aiken County, South Carolina,53385
Allendale County, South Carolina,26074
Anderson County, South Carolina,53598
Bamberg County, South Carolina,42830
Barnwell County, South Carolina,37572
Beaufort County, South Carolina,71430
Berkeley County, South Carolina,65443
Calhoun County, South Carolina,49844
Charleston County, South Carolina,67182
Cherokee County, South Carolina,37787
Chester County, South Carolina,43985
Chesterfield County, South Carolina,41937
Clarendon County, South Carolina,43881
Colleton County, South Carolina,36748
Darlington County, South Carolina,37141
Dillon County, South Carolina,36429
Dorchester County, South Carolina,63501
Edgefield County, South Carolina,52491
Fairfield County, South Carolina,43861
Florence County, South Carolina,49645
Georgetown County, South Carolina,52488
Greenville County, South Carolina,62422
Greenwood County, South Carolina,41081
Hampton County, South Carolina,38178
Horry County, South Carolina,51570
Jasper County, South Carolina,45924
Kershaw County, South Carolina,53980
Lancaster County, South Carolina,65421
Laurens County, South Carolina,44374
Lee County, South Carolina,32851
Lexington County, South Carolina,62740
McCormick County, South Carolina,47402
Marion County, South Carolina,30791
Marlboro County, South Carolina,31528
Newberry County, South Carolina,46038
Oconee County, South Carolina,49691
Orangeburg County, South Carolina,36802
Pickens County, South Carolina,51032
Richland County, South Carolina,54441
Saluda County, South Carolina,43410
Spartanburg County, South Carolina,53757
Sumter County, South Carolina,46570
Union County, South Carolina,41117
Williamsburg County, South Carolina,35681
York County, South Carolina,68555
Aurora County, South Dakota,65132
Beadle County, South Dakota,53461
Bennett County, South Dakota,41887
Bon Homme County, South Dakota,50195
Brookings County, South Dakota,57471
Brown County, South Dakota,61816
Brule County, South Dakota,57181
Buffalo County, South Dakota,35000
Butte County, South Dakota,49353
Campbell County, South Dakota,54228
Charles Mix County, South Dakota,52348
Clark County, South Dakota,50709
Clay County, South Dakota,51447
Codington County, South Dakota,57885
Corson County, South Dakota,36705
Custer County, South Dakota,64556
Davison County, South Dakota,48267
Day County, South Dakota,46753
Deuel County, South Dakota,67396
Dewey County, South Dakota,45859
Douglas County, South Dakota,61793
Edmunds County, South Dakota,64896
Fall River County, South Dakota,51383
Faulk County, South Dakota,49423
Grant County, South Dakota,65327
Gregory County, South Dakota,44706
Haakon County, South Dakota,40673
Hamlin County, South Dakota,67626
Hand County, South Dakota,58333
Hanson County, South Dakota,63750
Harding County, South Dakota,61111
Hughes County, South Dakota,69575
Hutchinson County, South Dakota,61290
Hyde County, South Dakota,59844
Jackson County, South Dakota,24549
Jerauld County, South Dakota,49265
Jones County, South Dakota,46688
Kingsbury County, South Dakota,61316
Lake County, South Dakota,63165
Lawrence County, South Dakota,52146
Lincoln County, South Dakota,84260
Lyman County, South Dakota,54484
McCook County, South Dakota,66208
McPherson County, South Dakota,51379
Marshall County, South Dakota,68056
Meade County, South Dakota,62275
Mellette County, South Dakota,33882
Miner County, South Dakota,53135
Minnehaha County, South Dakota,63699
Moody County, South Dakota,61894
Oglala Lakota County, South Dakota,31423
Pennington County, South Dakota,58278
Perkins County, South Dakota,61815
Potter County, South Dakota,57120
Roberts County, South Dakota,50877
Sanborn County, South Dakota,55398
Spink County, South Dakota,62125
Stanley County, South Dakota,71602
Sully County, South Dakota,60508
Todd County, South Dakota,24102
Tripp County, South Dakota,54054
Turner County, South Dakota,63062
Union County, South Dakota,74006
Walworth County, South Dakota,51481
Yankton County, South Dakota,61878
Ziebach County, South Dakota,36615
Anderson County, Tennessee,52338
Bedford County, Tennessee,52973
Benton County, Tennessee,39019
Bledsoe County, Tennessee,49382
Blount County, Tennessee,60301
Bradley County, Tennessee,51872
Campbell County, Tennessee,41769
Cannon County, Tennessee,52518
Carroll County, Tennessee,42877
Carter County, Tennessee,40820
Cheatham County, Tennessee,63988
Chester County, Tennessee,53336
Claiborne County, Tennessee,37954
Clay County, Tennessee,32064
Cocke County, Tennessee,38530
Coffee County, Tennessee,51030
Crockett County, Tennessee,47581
Cumberland County, Tennessee,49423
Davidson County, Tennessee,62515
Decatur County, Tennessee,40389
DeKalb County, Tennessee,44389
Dickson County, Tennessee,57804
Dyer County, Tennessee,45042
Fayette County, Tennessee,63618
Fentress County, Tennessee,40203
Franklin County, Tennessee,47777
Gibson County, Tennessee,45557
Giles County, Tennessee,49815
Grainger County, Tennessee,44703
Greene County, Tennessee,43150
Grundy County, Tennessee,43116
Hamblen County, Tennessee,43151
Hamilton County, Tennessee,56606
Hancock County, Tennessee,28234
Hardeman County, Tennessee,39636
Hardin County, Tennessee,42285
Hawkins County, Tennessee,45318
Haywood County, Tennessee,38994
Henderson County, Tennessee,44534
Henry County, Tennessee,41037
Hickman County, Tennessee,47457
Houston County, Tennessee,43521
Humphreys County, Tennessee,48411
Jackson County, Tennessee,35880
Jefferson County, Tennessee,51899
Johnson County, Tennessee,38090
Knox County, Tennessee,59250
Lake County, Tennessee,34230
Lauderdale County, Tennessee,41905
Lawrence County, Tennessee,43734
Lewis County, Tennessee,36977
Lincoln County, Tennessee,53923
Loudon County, Tennessee,61664
McMinn County, Tennessee,46872
McNairy County, Tennessee,40327
Macon County, Tennessee,38080
Madison County, Tennessee,48396
Marion County, Tennessee,50059
Marshall County, Tennessee,55299
Maury County, Tennessee,60567
Meigs County, Tennessee,50733
Monroe County, Tennessee,45576
Montgomery County, Tennessee,60878
Moore County, Tennessee,63762
Morgan County, Tennessee,41701
Obion County, Tennessee,39985
Overton County, Tennessee,36478
Perry County, Tennessee,48716
Pickett County, Tennessee,43125
Polk County, Tennessee,45326
Putnam County, Tennessee,45160
Rhea County, Tennessee,46096
Roane County, Tennessee,55578
Robertson County, Tennessee,66088
Rutherford County, Tennessee,68718
Scott County, Tennessee,37135
Sequatchie County, Tennessee,44217
Sevier County, Tennessee,51734
Shelby County, Tennessee,52092
Smith County, Tennessee,48611
Stewart County, Tennessee,49537
Sullivan County, Tennessee,47438
Sumner County, Tennessee,69878
Tipton County, Tennessee,62474
Trousdale County, Tennessee,56981
Unicoi County, Tennessee,44526
Union County, Tennessee,45143
Van Buren County, Tennessee,47576
Warren County, Tennessee,42668
Washington County, Tennessee,48923
Wayne County, Tennessee,42206
Weakley County, Tennessee,41488
White County, Tennessee,44282
Williamson County, Tennessee,111196
Wilson County, Tennessee,78962
Anderson County, Texas,45847
Andrews County, Texas,75147
Angelina County, Texas,49684
Aransas County, Texas,47924
Archer County, Texas,63958
Armstrong County, Texas,69386
Atascosa County, Texas,59251
Austin County, Texas,64468
Bailey County, Texas,55038
Bandera County, Texas,60361
Bastrop County, Texas,71820
Baylor County, Texas,40946
Bee County, Texas,45287
Bell County, Texas,54987
Bexar County, Texas,58288
Blanco County, Texas,70397
Borden County, Texas,83281
Bosque County, Texas,57337
Bowie County, Texas,51796
Brazoria County, Texas,83325
Brazos County, Texas,50289
Brewster County, Texas,45296
Briscoe County, Texas,37875
Brooks County, Texas,25058
Brown County, Texas,49180
Burleson County, Texas,60058
Burnet County, Texas,59919
Caldwell County, Texas,59846
Calhoun County, Texas,57170
Callahan County, Texas,51955
Cameron County, Texas,41200
Camp County, Texas,49539
Carson County, Texas,74246
Cass County, Texas,47539
Castro County, Texas,49900
Chambers County, Texas,95989
Cherokee County, Texas,50199
Childress County, Texas,43564
Clay County, Texas,63125
Cochran County, Texas,41000
Coke County, Texas,45072
Coleman County, Texas,46948
Collin County, Texas,100541
Collingsworth County, Texas,41202
Colorado County, Texas,52663
Comal County, Texas,80781
Comanche County, Texas,54889
Concho County, Texas,53333
Cooke County, Texas,62733
Coryell County, Texas,54712
Cottle County, Texas,40250
Crane County, Texas,54596
Crockett County, Texas,46695
Crosby County, Texas,42470
Culberson County, Texas,34853
Dallam County, Texas,58956
Dallas County, Texas,61870
Dawson County, Texas,40469
Deaf Smith County, Texas,49790
Delta County, Texas,49868
Denton County, Texas,90354
DeWitt County, Texas,53815
Dickens County, Texas,41141
Dimmit County, Texas,25996
Donley County, Texas,51875
Duval County, Texas,45349
Eastland County, Texas,41559
Ector County, Texas,63096
Edwards County, Texas,40643
Ellis County, Texas,79834
El Paso County, Texas,48292
Erath County, Texas,55383
Falls County, Texas,36854
Fannin County, Texas,57898
Fayette County, Texas,62872
Fisher County, Texas,52683
Floyd County, Texas,52714
Foard County, Texas,39306
Fort Bend County, Texas,100189
Franklin County, Texas,59632
Freestone County, Texas,52232
Frio County, Texas,48708
Gaines County, Texas,62994
Galveston County, Texas,74633
Garza County, Texas,58938
Gillespie County, Texas,61445
Glasscock County, Texas,74375
Goliad County, Texas,50000
Gonzales County, Texas,58210
Gray County, Texas,54679
Grayson County, Texas,58296
Gregg County, Texas,52027
Grimes County, Texas,56086
Guadalupe County, Texas,75774
Hale County, Texas,47500
Hall County, Texas,40197
Hamilton County, Texas,46893
Hansford County, Texas,46507
Hardeman County, Texas,47188
Hardin County, Texas,61221
Harris County, Texas,63022
Harrison County, Texas,54234
Hartley County, Texas,53722
Haskell County, Texas,48955
Hays County, Texas,68724
Hemphill County, Texas,59605
Henderson County, Texas,49469
Hidalgo County, Texas,41846
Hill County, Texas,55615
Hockley County, Texas,47010
Hood County, Texas,71253
Hopkins County, Texas,54600
Houston County, Texas,40838
Howard County, Texas,57761
Hudspeth County, Texas,31505
Hunt County, Texas,57467
Hutchinson County, Texas,57921
Irion County, Texas,53778
Jack County, Texas,54087
Jackson County, Texas,58243
Jasper County, Texas,42756
Jeff Davis County, Texas,-
Jefferson County, Texas,50840
Jim Hogg County, Texas,35736
Jim Wells County, Texas,45857
Johnson County, Texas,65311
Jones County, Texas,52471
Karnes County, Texas,52896
Kaufman County, Texas,72179
Kendall County, Texas,98692
Kenedy County, Texas,40083
Kent County, Texas,61706
Kerr County, Texas,57196
Kimble County, Texas,46602
King County, Texas,39286
Kinney County, Texas,39972
Kleberg County, Texas,47301
Knox County, Texas,50719
Lamar County, Texas,48036
Lamb County, Texas,44935
Lampasas County, Texas,64808
La Salle County, Texas,47162
Lavaca County, Texas,54211
Lee County, Texas,56696
Leon County, Texas,43392
Liberty County, Texas,50917
Limestone County, Texas,45781
Lipscomb County, Texas,63182
Live Oak County, Texas,50212
Llano County, Texas,58941
Loving County, Texas,44076
Lubbock County, Texas,53425
Lynn County, Texas,46163
McCulloch County, Texas,48618
McLennan County, Texas,50210
McMullen County, Texas,67386
Madison County, Texas,60499
Marion County, Texas,39093
Martin County, Texas,70000
Mason County, Texas,61434
Matagorda County, Texas,48733
Maverick County, Texas,41385
Medina County, Texas,62701
Menard County, Texas,43826
Midland County, Texas,83217
Milam County, Texas,48253
Mills County, Texas,50198
Mitchell County, Texas,44939
Montague County, Texas,57511
Montgomery County, Texas,83274
Moore County, Texas,53967
Morris County, Texas,43995
Motley County, Texas,45417
Nacogdoches County, Texas,44507
Navarro County, Texas,47574
Newton County, Texas,40690
Nolan County, Texas,43692
Nueces County, Texas,56784
Ochiltree County, Texas,53431
Oldham County, Texas,64250
Orange County, Texas,63488
Palo Pinto County, Texas,55986
Panola County, Texas,51297
Parker County, Texas,84189
Parmer County, Texas,58558
Pecos County, Texas,53879
Polk County, Texas,50351
Potter County, Texas,43652
Presidio County, Texas,22716
Rains County, Texas,52612
Randall County, Texas,68186
Reagan County, Texas,61659
Real County, Texas,38659
Red River County, Texas,37135
Reeves County, Texas,61543
Refugio County, Texas,51054
Roberts County, Texas,61964
Robertson County, Texas,53823
Rockwall County, Texas,105956
Runnels County, Texas,48489
Rusk County, Texas,56223
Sabine County, Texas,38917
San Augustine County, Texas,41568
San Jacinto County, Texas,44566
San Patricio County, Texas,56111
San Saba County, Texas,45169
Schleicher County, Texas,45250
Scurry County, Texas,50277
Shackelford County, Texas,48212
Shelby County, Texas,41170
Sherman County, Texas,57130
Smith County, Texas,59450
Somervell County, Texas,64394
Starr County, Texas,30931
Stephens County, Texas,44940
Sterling County, Texas,53194
Stonewall County, Texas,58309
Sutton County, Texas,61190
Swisher County, Texas,36337
Tarrant County, Texas,70306
Taylor County, Texas,55568
Terrell County, Texas,42823
Terry County, Texas,44052
Throckmorton County, Texas,41875
Titus County, Texas,53406
Tom Green County, Texas,57670
Travis County, Texas,80668
Trinity County, Texas,44052
Tyler County, Texas,47865
Upshur County, Texas,54330
Upton County, Texas,59008
Uvalde County, Texas,45936
Val Verde County, Texas,47675
Van Zandt County, Texas,57203
Victoria County, Texas,58959
Walker County, Texas,41508
Waller County, Texas,61752
Ward County, Texas,61915
Washington County, Texas,59623
Webb County, Texas,50296
Wharton County, Texas,51770
Wheeler County, Texas,49036
Wichita County, Texas,49710
Wilbarger County, Texas,45121
Willacy County, Texas,37906
Williamson County, Texas,90834
Wilson County, Texas,80082
Winkler County, Texas,63585
Wise County, Texas,67726
Wood County, Texas,56749
Yoakum County, Texas,69004
Young County, Texas,52158
Zapata County, Texas,32945
Zavala County, Texas,40090
Beaver County, Utah,66705
Box Elder County, Utah,63573
Cache County, Utah,60530
Carbon County, Utah,50328
Daggett County, Utah,74911
Davis County, Utah,87570
Duchesne County, Utah,61655
Emery County, Utah,57772
Garfield County, Utah,44279
Grand County, Utah,56639
Iron County, Utah,52045
Juab County, Utah,68333
Kane County, Utah,49486
Millard County, Utah,63221
Morgan County, Utah,100408
Piute County, Utah,29125
Rich County, Utah,63917
Salt Lake County, Utah,77128
San Juan County, Utah,49690
Sanpete County, Utah,55820
Sevier County, Utah,55361
Summit County, Utah,106973
Tooele County, Utah,76737
Uintah County, Utah,59428
Utah County, Utah,77057
Wasatch County, Utah,85807
Washington County, Utah,61747
Wayne County, Utah,49299
Weber County, Utah,71275
Addison County, Vermont,70262
Bennington County, Vermont,58200
Caledonia County, Vermont,52481
Chittenden County, Vermont,76316
Essex County, Vermont,47035
Franklin County, Vermont,65314
Grand Isle County, Vermont,81667
Lamoille County, Vermont,64179
Orange County, Vermont,62737
Orleans County, Vermont,54390
Rutland County, Vermont,57176
Washington County, Vermont,64862
Windham County, Vermont,54188
Windsor County, Vermont,61503
Accomack County, Virginia,46178
Albemarle County, Virginia,84643
Alleghany County, Virginia,48513
Amelia County, Virginia,63918
Amherst County, Virginia,57368
Appomattox County, Virginia,55457
Arlington County, Virginia,122604
Augusta County, Virginia,65076
Bath County, Virginia,55481
Bedford County, Virginia,67136
Bland County, Virginia,50365
Botetourt County, Virginia,72719
Brunswick County, Virginia,46111
Buchanan County, Virginia,34302
Buckingham County, Virginia,48603
Campbell County, Virginia,52319
Caroline County, Virginia,67901
Carroll County, Virginia,44518
Charles City County, Virginia,60096
Charlotte County, Virginia,40924
Chesterfield County, Virginia,84645
Clarke County, Virginia,86154
Craig County, Virginia,57792
Culpeper County, Virginia,80663
Cumberland County, Virginia,50565
Dickenson County, Virginia,30116
Dinwiddie County, Virginia,65485
Essex County, Virginia,51125
Fairfax County, Virginia,127866
Fauquier County, Virginia,105665
Floyd County, Virginia,51250
Fluvanna County, Virginia,78885
Franklin County, Virginia,56779
Frederick County, Virginia,80011
Giles County, Virginia,57279
Gloucester County, Virginia,71649
Goochland County, Virginia,97146
Grayson County, Virginia,41558
Greene County, Virginia,67266
Greensville County, Virginia,49756
Halifax County, Virginia,43714
Hanover County, Virginia,91444
Henrico County, Virginia,72295
Henry County, Virginia,38511
Highland County, Virginia,51831
Isle of Wight County, Virginia,77870
James City County, Virginia,91675
King and Queen County, Virginia,65385
King George County, Virginia,96711
King William County, Virginia,73284
Lancaster County, Virginia,59736
Lee County, Virginia,35006
Loudoun County, Virginia,147111
Louisa County, Virginia,67027
Lunenburg County, Virginia,45884
Madison County, Virginia,63482
Mathews County, Virginia,74489
Mecklenburg County, Virginia,50224
Middlesex County, Virginia,57060
Montgomery County, Virginia,59126
Nelson County, Virginia,62203
New Kent County, Virginia,97688
Northampton County, Virginia,50819
Northumberland County, Virginia,59437
Nottoway County, Virginia,49983
Orange County, Virginia,74446
Page County, Virginia,51878
Patrick County, Virginia,46941
Pittsylvania County, Virginia,49520
Powhatan County, Virginia,93833
Prince Edward County, Virginia,44253
Prince George County, Virginia,75123
Prince William County, Virginia,107707
Pulaski County, Virginia,53689
Rappahannock County, Virginia,82077
Richmond County, Virginia,53298
Roanoke County, Virginia,70076
Rockbridge County, Virginia,54133
Rockingham County, Virginia,64496
Russell County, Virginia,38564
Scott County, Virginia,41540
Shenandoah County, Virginia,56114
Smyth County, Virginia,41088
Southampton County, Virginia,63034
Spotsylvania County, Virginia,90913
Stafford County, Virginia,112247
Surry County, Virginia,56525
Sussex County, Virginia,51701
Tazewell County, Virginia,42207
Warren County, Virginia,70109
Washington County, Virginia,50928
Westmoreland County, Virginia,53790
Wise County, Virginia,41285
Wythe County, Virginia,51639
York County, Virginia,93356
Alexandria city, Virginia,102227
Bristol city, Virginia,39679
Buena Vista city, Virginia,36634
Charlottesville city, Virginia,59598
Chesapeake city, Virginia,81261
Colonial Heights city, Virginia,60522
Covington city, Virginia,41024
Danville city, Virginia,37147
Emporia city, Virginia,30058
Fairfax city, Virginia,109708
Falls Church city, Virginia,146922
Franklin city, Virginia,49811
Fredericksburg city, Virginia,69528
Galax city, Virginia,35184
Hampton city, Virginia,57041
Harrisonburg city, Virginia,49117
Hopewell city, Virginia,43262
Lexington city, Virginia,50714
Lynchburg city, Virginia,49201
Manassas city, Virginia,86227
Manassas Park city, Virginia,81639
Martinsville city, Virginia,36166
Newport News city, Virginia,54511
Norfolk city, Virginia,53026
Norton city, Virginia,30518
Petersburg city, Virginia,43029
Poquoson city, Virginia,100696
Portsmouth city, Virginia,53213
Radford city, Virginia,34576
Richmond city, Virginia,51421
Roanoke city, Virginia,45664
Salem city, Virginia,63411
Staunton city, Virginia,52292
Suffolk city, Virginia,79899
Virginia Beach city, Virginia,78136
Waynesboro city, Virginia,43480
Williamsburg city, Virginia,59288
Winchester city, Virginia,61102
Adams County, Washington,51601
Asotin County, Washington,53941
Benton County, Washington,72046
Chelan County, Washington,61304
Clallam County, Washington,55090
Clark County, Washington,77184
Columbia County, Washington,61779
Cowlitz County, Washington,58791
Douglas County, Washington,65730
Ferry County, Washington,41685
Franklin County, Washington,66904
Garfield County, Washington,56923
Grant County, Washington,59165
Grays Harbor County, Washington,50665
Island County, Washington,70765
Jefferson County, Washington,57693
King County, Washington,99158
Kitsap County, Washington,78969
Kittitas County, Washington,59703
Klickitat County, Washington,56667
Lewis County, Washington,54970
Lincoln County, Washington,58584
Mason County, Washington,60565
Okanogan County, Washington,48528
Pacific County, Washington,50873
Pend Oreille County, Washington,55021
Pierce County, Washington,76438
San Juan County, Washington,64753
Skagit County, Washington,71021
Skamania County, Washington,69296
Snohomish County, Washington,89273
Spokane County, Washington,60101
Stevens County, Washington,54426
Thurston County, Washington,75867
Wahkiakum County, Washington,54524
Walla Walla County, Washington,60615
Whatcom County, Washington,65420
Whitman County, Washington,42288
Yakima County, Washington,54917
Barbour County, West Virginia,38906
Berkeley County, West Virginia,65286
Boone County, West Virginia,45297
Braxton County, West Virginia,43819
Brooke County, West Virginia,48168
Cabell County, West Virginia,41472
Calhoun County, West Virginia,38668
Clay County, West Virginia,35154
Doddridge County, West Virginia,51300
Fayette County, West Virginia,43722
Gilmer County, West Virginia,42883
Grant County, West Virginia,43313
Greenbrier County, West Virginia,39807
Hampshire County, West Virginia,48528
Hancock County, West Virginia,48140
Hardy County, West Virginia,46513
Harrison County, West Virginia,52134
Jackson County, West Virginia,49115
Jefferson County, West Virginia,82551
Kanawha County, West Virginia,47122
Lewis County, West Virginia,43894
Lincoln County, West Virginia,42064
Logan County, West Virginia,36250
McDowell County, West Virginia,26072
Marion County, West Virginia,52856
Marshall County, West Virginia,48179
Mason County, West Virginia,51820
Mercer County, West Virginia,40716
Mineral County, West Virginia,51723
Mingo County, West Virginia,35454
Monongalia County, West Virginia,54198
Monroe County, West Virginia,44828
Morgan County, West Virginia,57116
Nicholas County, West Virginia,40318
Ohio County, West Virginia,48056
Pendleton County, West Virginia,46358
Pleasants County, West Virginia,55508
Pocahontas County, West Virginia,37642
Preston County, West Virginia,51992
Putnam County, West Virginia,63954
Raleigh County, West Virginia,43283
Randolph County, West Virginia,45206
Ritchie County, West Virginia,44328
Roane County, West Virginia,38895
Summers County, West Virginia,37769
Taylor County, West Virginia,52958
Tucker County, West Virginia,47527
Tyler County, West Virginia,47598
Upshur County, West Virginia,40802
Wayne County, West Virginia,43710
Webster County, West Virginia,33358
Wetzel County, West Virginia,44539
Wirt County, West Virginia,45315
Wood County, West Virginia,48711
Wyoming County, West Virginia,44095
Adams County, Wisconsin,48906
Ashland County, Wisconsin,47869
Barron County, Wisconsin,52346
Bayfield County, Wisconsin,57257
Brown County, Wisconsin,64728
Buffalo County, Wisconsin,58364
Burnett County, Wisconsin,53555
Calumet County, Wisconsin,76065
Chippewa County, Wisconsin,61215
Clark County, Wisconsin,54463
Columbia County, Wisconsin,69262
Crawford County, Wisconsin,51218
Dane County, Wisconsin,75179
Dodge County, Wisconsin,62591
Door County, Wisconsin,61765
Douglas County, Wisconsin,56855
Dunn County, Wisconsin,59588
Eau Claire County, Wisconsin,62508
Florence County, Wisconsin,50821
Fond du Lac County, Wisconsin,64147
